path,role,process,state,truth_source,downstream_target,exit_condition,post_exit_disposition,literal_code_consumers
docs/assembly-experiment/adapter-integration-evidence.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-inventory.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-migration.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/test_adapter_hook_equivalence.py;tools/verify_adapter_integration.py;tools/verify_weapon_modules.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/test_adapter_hook_equivalence.py;tools/verify_adapter_integration.py;tools/verify_weapon_modules.py
docs/assembly-experiment/adapter-source-integration.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/adapter_migration.py;tools/weapon_migration.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/adapter_migration.py;tools/weapon_migration.py
docs/assembly-experiment/adapter合并交付.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/ammunition-cleanup.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/verify_ammunition_chain.py;tools/verify_extra_content.py;tools/verify_native_ammo_retirement.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/verify_ammunition_chain.py;tools/verify_extra_content.py;tools/verify_native_ammo_retirement.py
docs/assembly-experiment/ammunition-verification.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/canonical-firearm-cutover.md,global-asset,not-process,current,"current code, author inputs and accepted scope",current maintainers,replace only when implementation or accepted contract changes,maintain current entry; preserve historical evidence separately,
docs/assembly-experiment/native-ammo-retirement.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/verify_ammunition_chain.py;tools/verify_extra_content.py;tools/verify_native_ammo_retirement.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/verify_ammunition_chain.py;tools/verify_extra_content.py;tools/verify_native_ammo_retirement.py
docs/assembly-experiment/native-ammo-verification.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-attachments-delivery/README.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-attachments-delivery/evidence/delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-attachments-delivery/evidence/magazines-blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-attachments-delivery/evidence/muzzles-blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/README.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/m16a1-assembled-icon.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-final.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-host-dev-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-host-dev.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-host-prod-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-host-prod.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/native-batch-stamp.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/runtime-review.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/scar_l-assembled-icon.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/source-review.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-batch-one/evidence/ump45-assembled-icon.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/README.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/assembled-icon.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/card-icon-fix.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/newmod-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/newmod-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/newmod-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/newmod-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-glock17-delivery/evidence/parts-contact-sheet.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/README.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-artifact-verification.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-newmod-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-newmod-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-newmod-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/batch-newmod-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/blockbench-components.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-artifact-verification.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-bare-receiver.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-full.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-newmod-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-newmod-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-newmod-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-newmod-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/display-no-stock.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/editable-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/experiment-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-comparison.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-newmod-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-newmod-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-newmod-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/icon-newmod-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-generation.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-newmod-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-newmod-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-newmod-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/m4-editable-newmod-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/native-mainline-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/native-mainline-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/native-mainline-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/native-mainline-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/native-workbench-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/preset-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/remaining-blockbench.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/remaining-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/rk1-direction.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/evidence/workbench-delivery.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/临时预设编辑.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/整枪显示链路.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/非瞄具批量与框架加固.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-delivery/默认配件导入复盘.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-integration.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/native_m4a1/update_ledger.py;tools/native_m4a1_migration.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/native_m4a1/update_ledger.py;tools/native_m4a1_migration.py
docs/assembly-experiment/native-m4a1-review/README.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/audit.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/native_m4a1/export_parts.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/native_m4a1/export_parts.py
docs/assembly-experiment/native-m4a1-review/audit.py,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/native-default-ownership.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/ownership-proposal.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/native_m4a1/export_parts.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/native_m4a1/export_parts.py
docs/assembly-experiment/native-m4a1-review/receiver-groups.png,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/source-evidence.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/supplement-evidence.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/supplement.py,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-m4a1-review/补查结论.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/native-remaining/README.md,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/blockbench-other.json,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/blockbench-rifles.json,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/cross-source-review.md,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/delivery.json,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/aa12.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/ai_awp.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/m700.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/m870.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/mk14.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/p90.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/qbz_191.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/scar_h.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/sks_tactical.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
docs/assembly-experiment/native-remaining/evidence/gui-icons/uzi.png,current-active-asset,process-active,awaiting-review,corresponding dated source commit and frozen evidence,historical ten-gun/workbench acceptance reconciliation,locate explicit owner acceptance for final workbench repair; optics acceptance is insufficient,retain evidence and deferred renderer condition,
